museum_no,id_text,accession_no,composite,id_text2,height,material,period,thickness,width,id
BM 090002,226637,"1979-12-20, 0003",Q000935,0,28.50cm,clay,Ur III (ca. 2100-2000 BC),5.00cm,28.00cm,833250562
BM 090003,226638,"1979-12-20, 0004",Q000935,0,32.00cm,clay,Ur III (ca. 2100-2000 BC),6.00cm,32.00cm,833250563
BM 090004,226639,"1979-12-20, 0005",Q000936,0,36.50cm,clay,Ur III (ca. 2100-2000 BC),8.50cm,36.50cm,833250564
BM 090005,226640,"1979-12-20, 0006",Q000978,0,34.50cm,clay,Ur III (ca. 2100-2000 BC),9.00cm,20.50cm,833250565
BM 090006,226641,"1851-01-01, 0279",Q000953,0,12.00in,clay,Ur III (ca. 2100-2000 BC),?,12.00in,833250566
BM 090007,226642,"1979-12-20, 0007",Q000953,0,31.50cm,clay,Ur III (ca. 2100-2000 BC),7.50cm,32.00cm,833250567
BM 090008,226643,"1979-12-20, 0008",Q000955,0,33.50cm,clay,Ur III (ca. 2100-2000 BC),7.50cm,32.00cm,833250568
BM 090009,226644,"1979-12-20, 0009",Q000936,0,37.50cm,clay,Ur III (ca. 2100-2000 BC),9.00cm,36.50cm,833250569
BM 090010,226645,"1979-12-20, 0010",Q000953,0,31.50cm,clay,Ur III (ca. 2100-2000 BC),7.00cm,31.00cm,833250570
BM 090011,226646,"1979-12-20, 0011",Q000936,0,37.00cm,clay,Ur III (ca. 2100-2000 BC),10.00cm,36.50cm,833250571
BM 090012,226647,"1979-12-20, 0012",Q000936,0,37.50cm,clay,Ur III (ca. 2100-2000 BC),9.50cm,28.50cm,833250572
BM 090013,226648,"1979-12-20, 0013",Q000955,0,33.00cm,clay,Ur III (ca. 2100-2000 BC),7.00cm,32.00cm,833250573
BM 090014,226649,"1895-05-14, 0009",Q000953,0,12.50in,clay,Ur III (ca. 2100-2000 BC),?,12.50in,833250574
BM 090015,226650,"1979-12-20, 0014",Q000953,0,32.00cm,clay,Ur III (ca. 2100-2000 BC),7.50cm,32.00cm,833250575
BM 090016,226651,"1979-12-20, 0015",Q000955,0,32.00cm,clay,Ur III (ca. 2100-2000 BC),7.50cm,32.00cm,833250576
BM 090017,226652,"1979-12-20, 0016",Q000978,0,32.50cm,clay,Ur III (ca. 2100-2000 BC),5.00cm,20.50cm,833250577
BM 090018,226653,"1979-12-20, 0017",Q000955,0,32.50cm,clay,Ur III (ca. 2100-2000 BC),7.50cm,32.00cm,833250578
BM 090019,226654,"1851-01-01, 0303",Q000953,0,12.50in,clay,Ur III (ca. 2100-2000 BC),?,12.50in,833250579
BM 090020,226655,"1851-01-01, 0289",Q000935,0,11.00in,clay,Ur III (ca. 2100-2000 BC),?,11.00in,833250580
BM 090021,226656,"1979-12-20, 0018",Q000953,0,32.00cm,clay,Ur III (ca. 2100-2000 BC),7.50cm,31.50cm,833250581
BM 090023,226657,"1979-12-20, 0020",Q000981,0,32.50cm,clay,Ur III (ca. 2100-2000 BC),7.00cm,32.50cm,833250582
BM 090024,226658,"1979-12-20, 0021",Q000988,0,?,clay,Ur III (ca. 2100-2000 BC),?,?,833250583
BM 090025,226659,"1979-12-20, 0022",Q000981,0,32.50cm,clay,Ur III (ca. 2100-2000 BC),7.00cm,32.50cm,833250584
BM 090026,226660,"1979-12-20, 0023",Q000988,0,26.00cm,clay,Ur III (ca. 2100-2000 BC),?,26.00cm,833250585
BM 090027,226661,"1979-12-20, 0024",Q000988,0,26.50cm,clay,Ur III (ca. 2100-2000 BC),6.50cm,26.00cm,833250586
BM 090030,226662,"1979-12-20, 0027",Q000981,0,32.00cm,clay,Ur III (ca. 2100-2000 BC),7.00cm,32.00cm,833250587
BM 090034,226663,"1979-12-20, 0029",Q000981,0,16.50cm,clay,Ur III (ca. 2100-2000 BC),6.50cm,34.00cm,833250588
BM 090035,226664,"1979-12-20, 0030",Q000988,0,?,clay,Ur III (ca. 2100-2000 BC),?,?,833250589
BM 090036,226665,"1859-10-14, 0006",Q000985,0,11.75in,clay,Ur III (ca. 2100-2000 BC),?,12.00in,833250590
BM 090037,226666,"1859-10-14, 0046",Q000981,0,13.00in,clay,Ur III (ca. 2100-2000 BC),2.75in,6.50in,833250591
BM 090038,226667,"1979-12-20, 0031",Q000988,0,26.50cm,clay,Ur III (ca. 2100-2000 BC),7.00cm,26.50cm,833250592
BM 090039,226668,"1859-10-14, 0009",Q000985,0,12.25in,clay,Ur III (ca. 2100-2000 BC),?,12.50in,833250593
BM 090040,226669,"1859-10-14, 0008",Q000981,0,12.00in,clay,Ur III (ca. 2100-2000 BC),?,6.00in,833250594
BM 090042,226670,"1979-12-20, 0033",Q000981,0,?,clay,Ur III (ca. 2100-2000 BC),?,?,833250595
BM 090043,226671,"1979-12-20, 0034",Q001796,0,31.00cm,clay,Ur III (ca. 2100-2000 BC),7.00cm,31.00cm,833250596
BM 090044,226672,"1979-12-20, 0035",Q000988,0,27.50cm,clay,Ur III (ca. 2100-2000 BC),7.00cm,14.50cm,833250597
BM 090056,226673,"1979-12-20, 0045",Q000988,0,25.50cm,clay,Ur III (ca. 2100-2000 BC),7.00cm,26.50cm,833250598
BM 090058 + BM 090821,226674,"1979-12-20, 0047",Q000988,0,26.50cm,clay,Ur III (ca. 2100-2000 BC),7.50cm,26.00cm,833250599
BM 090061,226675,"1979-12-20, 0049",Q000988,0,26.00cm,clay,Ur III (ca. 2100-2000 BC),6.50cm,25.50cm,833250600
BM 090276,226676,"1979-12-20, 0169",Q000978,0,27.00cm,clay,Ur III (ca. 2100-2000 BC),8.00cm,20.00cm,833250601
BM 090277,226677,"1979-12-20, 0170",Q000960,0,?,clay,Ur III (ca. 2100-2000 BC),?,?,833250602
BM 090278,226678,"1979-12-20, 0171",Q000960,0,35.00cm,clay,Ur III (ca. 2100-2000 BC),8.00cm,34.00cm,833250603
BM 090279,226679,"1979-12-20, 0172",Q000988,0,27.00cm,clay,Ur III (ca. 2100-2000 BC),6.50cm,26.50cm,833250604
BM 090296,226680,"1979-12-20, 0183",Q000937,0,27.50cm,clay,Ur III (ca. 2100-2000 BC),5.50cm,24.50cm,833250605
BM 090348,226681,"1859-10-14, 0004",Q000981,0,7.00in,clay,Ur III (ca. 2100-2000 BC),?,8.00in,833250606
BM 090349,226682,"1859-10-14, 0005",Q000981,0,4.75in,clay,Ur III (ca. 2100-2000 BC),?,4.75in,833250607
BM 090352,226683,"1979-12-20, 0210",Q000981,0,30.00cm,clay,Ur III (ca. 2100-2000 BC),8.00cm,29.00cm,833250608
BM 090353,226684,"1859-10-14, 0045",Q000985,0,13.00in,clay,Ur III (ca. 2100-2000 BC),2.75in,6.00in,833250609
BM 090372,226685,"1859-10-14, 0010",Q000981,0,7.75in,clay,Ur III (ca. 2100-2000 BC),?,6.50in,833250610
BM 090374,226686,"1851-10-09, 0069",Q000949,0,6.00in,clay,Ur III (ca. 2100-2000 BC),?,6.00in,833250611
